country,year,pct_undernourish,norm_undernourish,norm_with_pts
South Africa,2017.5,6.49,0.925850214,4.6292510700000005
Oman,2017.5,6.42,0.927151087,4.635755435
Peru,2017.5,6.34,0.9286378,4.643189
Cambodia,2017.5,6.17,0.931797064,4.658985319999999
Nepal,2017.5,6.03,0.934398811,4.671994055
Georgia,2017.5,5.94,0.936071362,4.68035681
Panama,2017.5,5.84,0.937929753,4.689648765
French Polynesia,2017.5,5.66,0.941274856,4.70637428
Kyrgyzstan,2017.5,5.47,0.944805798,4.72402899
Mali,2017.5,5.46,0.944991637,4.724958185
Saint Vincent and the Grenadines,2017.5,5.45,0.945177476,4.72588738
Cameroon,2017.5,5.43,0.945549154,4.727745769999999
Polynesia,2018.0,5.272727273,0.948471896,4.74235948
Belize,2017.5,5.25,0.948894258,4.74447129
Colombia,2017.5,4.85,0.95632782,4.7816391000000005
Sri Lanka,2017.5,4.79,0.957442854,4.78721427
Myanmar,2017.5,4.66,0.959858762,4.79929381
Samoa,2017.5,4.66,0.959858762,4.79929381
Morocco,2017.5,4.53,0.96227467,4.81137335
Albania,2017.5,4.36,0.965433934,4.82716967
Saudi Arabia,2017.5,4.25,0.967478164,4.8373908199999995
Slovakia,2017.5,4.2,0.968407359,4.842036795
Taiwan,2017.5,4.09,0.970451589,4.852257945
United Arab Emirates,2017.5,3.84,0.975097566,4.87548783
Guyana,2017.5,3.7,0.977699312,4.88849656
Turkmenistan,2017.5,3.64,0.978814347,4.894071735
Mexico,2017.5,3.54,0.980672737,4.903363685
Ukraine,2017.5,3.47,0.981973611,4.9098680550000005
Bulgaria,2017.5,3.36,0.984017841,4.920089205
Kiribati,2017.5,3.32,0.984761197,4.9238059849999996
North Macedonia,2017.5,3.3,0.985132875,4.925664375
Seychelles,2017.5,3.22,0.986619587,4.933097935
Argentina,2017.5,3.2,0.986991266,4.93495633
Tunisia,2017.5,3.14,0.9881063,4.9405315
Paraguay,2017.5,3.03,0.99015053,4.95075265
Moldova,2017.5,2.95,0.991637242,4.95818621
Chile,2017.5,2.95,0.991637242,4.95818621
Brazil,2017.5,2.91,0.992380598,4.9619029900000005
Malaysia,2017.5,2.9,0.992566437,4.962832185
Barbados,2017.5,2.88,0.992938116,4.96469058
Japan,2017.5,2.8,0.994424828,4.97212414
Algeria,2017.5,2.58,0.998513287,4.992566435
Costa Rica,2017.5,2.56,0.998884966,4.99442483
Hong Kong,2017.5,2.51,0.999814161,4.999070805
Switzerland,2017.5,2.5,1.0,5.0
Kazakhstan,2017.5,2.5,1.0,5.0
Italy,2017.5,2.5,1.0,5.0
Israel,2017.5,2.5,1.0,5.0
Ireland,2017.5,2.5,1.0,5.0
Canada,2017.5,2.5,1.0,5.0
Denmark,2017.5,2.5,1.0,5.0
Iceland,2017.5,2.5,1.0,5.0
Turkey,2017.5,2.5,1.0,5.0
Hungary,2017.5,2.5,1.0,5.0
United Kingdom,2017.5,2.5,1.0,5.0
Greece,2017.5,2.5,1.0,5.0
Kuwait,2017.5,2.5,1.0,5.0
United States,2017.5,2.5,1.0,5.0
Uruguay,2017.5,2.5,1.0,5.0
Uzbekistan,2017.5,2.5,1.0,5.0
Germany,2017.5,2.5,1.0,5.0
Bosnia and Herzegovina,2017.5,2.5,1.0,5.0
France,2017.5,2.5,1.0,5.0
Finland,2017.5,2.5,1.0,5.0
Estonia,2017.5,2.5,1.0,5.0
Sweden,2017.5,2.5,1.0,5.0
Norway,2017.5,2.5,1.0,5.0
Poland,2017.5,2.5,1.0,5.0
Montenegro,2017.5,2.5,1.0,5.0
Portugal,2017.5,2.5,1.0,5.0
Romania,2017.5,2.5,1.0,5.0
Russia,2017.5,2.5,1.0,5.0
Armenia,2017.5,2.5,1.0,5.0
Australia,2017.5,2.5,1.0,5.0
New Zealand,2017.5,2.5,1.0,5.0
Serbia,2017.5,2.5,1.0,5.0
Netherlands,2017.5,2.5,1.0,5.0
Austria,2017.5,2.5,1.0,5.0
Slovenia,2017.5,2.5,1.0,5.0
Latvia,2017.5,2.5,1.0,5.0
Azerbaijan,2017.5,2.5,1.0,5.0
Malta,2017.5,2.5,1.0,5.0
China,2017.5,2.5,1.0,5.0
Croatia,2017.5,2.5,1.0,5.0
Luxembourg,2017.5,2.5,1.0,5.0
South Korea,2017.5,2.5,1.0,5.0
Belarus,2017.5,2.5,1.0,5.0
Cuba,2017.5,2.5,1.0,5.0
Lithuania,2017.5,2.5,1.0,5.0
Belgium,2017.5,2.5,1.0,5.0
Spain,2017.5,2.5,1.0,5.0
Cyprus,2017.5,2.5,1.0,5.0
Czechia,2017.5,2.5,1.0,5.0
